Epoch 31 , SSIM 0.3024634993635118 , GDL 0.255400424124673, TL 0.6494698689784855, DL 0.443581452826038, DACC 99.21875, DGACC 99.70703125, COLORFULLNESS 0.0916059452429181 
Epoch 32 , SSIM 0.2905416670255363 , GDL 0.284052123548463, TL 0.6689185739960521, DL 0.4266007044352591, DACC 98.779296875, DGACC 99.9267578125, COLORFULLNESS 0.09432477939117234 
Epoch 33 , SSIM 0.30402966775000095 , GDL 0.28879578690975904, TL 0.6777768568135798, DL 0.42109909979626536, DACC 97.216796875, DGACC 99.9755859375, COLORFULLNESS 0.08495140326704131 
Epoch 34 , SSIM 0.30522402096539736 , GDL 0.3011036040261388, TL 0.6848357650451362, DL 0.41470797220245004, DACC 98.2421875, DGACC 100.0, COLORFULLNESS 0.07850813975528581 
Epoch 35 , SSIM 0.3049818370491266 , GDL 0.2734308121725917, TL 0.6571260504424572, DL 0.4153000928927213, DACC 100.0, DGACC 99.9755859375, COLORFULLNESS 0.0787134001875529 
Epoch 36 , SSIM 0.2926267725415528 , GDL 0.2475212748395279, TL 0.6387637385632843, DL 0.4128926645498723, DACC 99.951171875, DGACC 100.0, COLORFULLNESS 0.09861569091299316 
Epoch 37 , SSIM 0.2672116025350988 , GDL 0.22206005360931158, TL 0.5761996177025139, DL 0.4112377285491675, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08692796044488205 
Epoch 38 , SSIM 0.37866982631385326 , GDL 0.5500026512891054, TL 1.0997495693154633, DL 0.47831781837157905, DACC 84.5703125, DGACC 99.0234375, COLORFULLNESS 0.17107709022820927 
Epoch 39 , SSIM 0.5142300957813859 , GDL 0.6129650416551158, TL 1.282020180951804, DL 0.43411282007582486, DACC 72.412109375, DGACC 99.9267578125, COLORFULLNESS 0.15482504438841715 
Epoch 40 , SSIM 0.4132364811375737 , GDL 0.2925915983505547, TL 0.9049604036845267, DL 0.42321429471485317, DACC 97.36328125, DGACC 99.8779296875, COLORFULLNESS 0.19913232332328334 
Epoch 41 , SSIM 0.5217574262060225 , GDL 0.575557081727311, TL 1.2369085908867419, DL 0.4363533593714237, DACC 77.685546875, DGACC 99.853515625, COLORFULLNESS 0.13959408708615229 
Epoch 42 , SSIM 0.39125121757388115 , GDL 0.2779424504842609, TL 0.7669389441143721, DL 0.43549974798224866, DACC 96.923828125, DGACC 99.951171875, COLORFULLNESS 0.09774527772970032 
Epoch 43 , SSIM 0.27432634541764855 , GDL 0.2191045128274709, TL 0.5762653483543545, DL 0.41226750891655684, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08283448991278419 
Epoch 44 , SSIM 0.27944501116871834 , GDL 0.28249939961824566, TL 0.6550479021389037, DL 0.4139518472366035, DACC 97.119140625, DGACC 99.9755859375, COLORFULLNESS 0.09310348842700478 
Epoch 45 , SSIM 0.326278961263597 , GDL 0.3552868425613269, TL 0.7773506129160523, DL 0.41773608489893377, DACC 97.119140625, DGACC 100.0, COLORFULLNESS 0.0957848103280412 
Epoch 46 , SSIM 0.39443166367709637 , GDL 0.310729521792382, TL 0.7863049623556435, DL 0.42703529354184866, DACC 98.4375, DGACC 100.0, COLORFULLNESS 0.08114377672609407 
Epoch 47 , SSIM 0.358352564740926 , GDL 0.27282070042565465, TL 0.7164717430714518, DL 0.4145589389372617, DACC 99.31640625, DGACC 100.0, COLORFULLNESS 0.08529847822501324 
Epoch 48 , SSIM 0.3456076732836664 , GDL 0.3936567936325446, TL 0.8330129440873861, DL 0.4105090172961354, DACC 95.1171875, DGACC 100.0, COLORFULLNESS 0.09374847754952498 
Epoch 49 , SSIM 0.3057461241260171 , GDL 0.2535611765924841, TL 0.6591309104114771, DL 0.4106181897222996, DACC 99.951171875, DGACC 100.0, COLORFULLNESS 0.09982360775757115 
Epoch 50 , SSIM 0.3028981853276491 , GDL 0.25188243691809475, TL 0.637134748743847, DL 0.4106381256133318, DACC 99.8046875, DGACC 100.0, COLORFULLNESS 0.08235412627254846 
Epoch 51 , SSIM 0.29413732793182135 , GDL 0.24050010507926345, TL 0.6315878198947757, DL 0.4098578649573028, DACC 99.951171875, DGACC 100.0, COLORFULLNESS 0.09695038727659266 
Epoch 52 , SSIM 0.34090060321614146 , GDL 0.34713759762234986, TL 0.7905866899527609, DL 0.421704045496881, DACC 93.84765625, DGACC 99.951171875, COLORFULLNESS 0.10254848889599089 
Epoch 53 , SSIM 0.4157414180226624 , GDL 0.5231655072420835, TL 1.0847488595172763, DL 0.46977581083774567, DACC 80.029296875, DGACC 99.462890625, COLORFULLNESS 0.1458419352566125 
Epoch 54 , SSIM 0.3472264315932989 , GDL 0.2991742546437308, TL 0.7577019659802318, DL 0.4268731779884547, DACC 97.705078125, DGACC 99.9755859375, COLORFULLNESS 0.11130128206423251 
