Epoch 40 , SSIM -0.2499145632982254 , GDL 0.7811537545919418, TL 0.5312391898036003, DL 1.3214596700668335, DACC 39.34375, DGACC60.765625 
Epoch 41 , SSIM -0.2493799915909767 , GDL 0.7780244284868241, TL 0.5286444360017777, DL 1.3360762155056, DACC 40.03125, DGACC59.8125 
Epoch 42 , SSIM -0.25143412828445433 , GDL 0.7719313663244247, TL 0.520497237443924, DL 1.33984565615654, DACC 39.15625, DGACC59.59375 
Epoch 43 , SSIM -0.24899147033691407 , GDL 0.7912248229980469, TL 0.5422333544492721, DL 1.326021182537079, DACC 39.28125, DGACC60.68750000000001 
Epoch 44 , SSIM -0.24818748876452446 , GDL 0.7740919327735901, TL 0.5259044408798218, DL 1.3391774606704712, DACC 39.21875, DGACC59.890625 
Epoch 45 , SSIM -0.24774412885308267 , GDL 0.770674929022789, TL 0.5229308009147644, DL 1.333867073059082, DACC 39.75, DGACC60.109375 
Epoch 46 , SSIM -0.24925190776586534 , GDL 0.7807212519645691, TL 0.531469341814518, DL 1.3267260551452638, DACC 38.875, DGACC61.03125 
Epoch 47 , SSIM -0.24786461874842644 , GDL 0.7883985531330109, TL 0.540533937215805, DL 1.3385879409313202, DACC 38.28125, DGACC60.4375 
Epoch 48 , SSIM -0.24989524975419045 , GDL 0.7777721124887467, TL 0.527876863181591, DL 1.3363971602916718, DACC 39.6875, DGACC59.34374999999999 
Epoch 49 , SSIM -0.24874796494841575 , GDL 0.784340940117836, TL 0.5355929744243622, DL 1.3250788140296936, DACC 39.03125, DGACC61.15625 
Epoch 50 , SSIM -0.24835255071520806 , GDL 0.7719222742319107, TL 0.5235697227716446, DL 1.3433404684066772, DACC 41.25, DGACC59.375 
Epoch 51 , SSIM -0.24973259449005128 , GDL 0.7749946540594101, TL 0.5252620616555214, DL 1.3399616229534148, DACC 40.125, DGACC59.62499999999999 
Epoch 52 , SSIM -0.24999089494347573 , GDL 0.7838521659374237, TL 0.5338612714409828, DL 1.3255292403697967, DACC 38.625, DGACC61.57812499999999 
Epoch 53 , SSIM -0.25167199715971944 , GDL 0.7807356292009353, TL 0.5290636307001114, DL 1.3363825631141664, DACC 40.125, DGACC60.09375 
Epoch 54 , SSIM -0.2513853883743286 , GDL 0.7788416719436646, TL 0.5274562856554985, DL 1.3379731917381286, DACC 39.5625, DGACC59.56249999999999 
Epoch 55 , SSIM -0.2518842628598213 , GDL 0.7798434108495712, TL 0.5279591464996338, DL 1.3317871594429016, DACC 39.78125, DGACC59.68750000000001 
Epoch 56 , SSIM -0.2497463196516037 , GDL 0.7941001772880554, TL 0.5443538573384284, DL 1.3256194615364074, DACC 39.375, DGACC60.5625 
Epoch 57 , SSIM -0.2500112664699554 , GDL 0.7837954550981522, TL 0.5337841898202896, DL 1.3272315847873688, DACC 37.71875, DGACC61.25000000000001 
Epoch 58 , SSIM -0.24939505204558374 , GDL 0.7805241996049881, TL 0.531129146516323, DL 1.338100049495697, DACC 39.75, DGACC60.5 
Epoch 59 , SSIM -0.24849344596266745 , GDL 0.7831442177295684, TL 0.5346507722139359, DL 1.3349118781089784, DACC 39.4375, DGACC60.171875 
Epoch 60 , SSIM -0.24851406127214432 , GDL 0.7869900512695313, TL 0.5384759902954102, DL 1.3344053995609284, DACC 39.5, DGACC60.0 
Epoch 61 , SSIM -0.2526954805850983 , GDL 0.7743364143371582, TL 0.5216409319639206, DL 1.3392507708072663, DACC 39.71875, DGACC59.95312499999999 
Epoch 62 , SSIM -0.24952183425426483 , GDL 0.7729604518413544, TL 0.5234386178851128, DL 1.340635095834732, DACC 40.125, DGACC60.18750000000001 
Epoch 63 , SSIM -0.2504452684521675 , GDL 0.7901391553878784, TL 0.5396938881278038, DL 1.339951261281967, DACC 40.1875, DGACC60.0 
Epoch 64 , SSIM -0.2499222120642662 , GDL 0.7894220072031021, TL 0.539499796628952, DL 1.327489242553711, DACC 38.78125, DGACC61.453125 
Epoch 65 , SSIM -0.250516739487648 , GDL 0.7835642504692077, TL 0.5330475077033043, DL 1.3259301245212556, DACC 40.78125, DGACC60.484375 
Epoch 66 , SSIM -0.2541982336342335 , GDL 0.7896176338195801, TL 0.5354194012284279, DL 1.320392428636551, DACC 37.125, DGACC61.51562499999999 
Epoch 67 , SSIM -0.24963626638054848 , GDL 0.7902355045080185, TL 0.5405992358922959, DL 1.3224132788181304, DACC 38.0625, DGACC61.625 
Epoch 68 , SSIM -0.25265150517225266 , GDL 0.7862028062343598, TL 0.5335513013601303, DL 1.3295246839523316, DACC 38.78125, DGACC61.28125 
Epoch 69 , SSIM -0.2507945230603218 , GDL 0.8100065964460373, TL 0.559212076663971, DL 1.3116627323627472, DACC 36.78125, DGACC62.515625 
Epoch 70 , SSIM -0.25152055263519285 , GDL 0.8128698366880417, TL 0.5613492807745933, DL 1.3154447281360626, DACC 37.4375, DGACC61.484375 
Epoch 71 , SSIM -0.25227335944771767 , GDL 0.7852194786071778, TL 0.5329461187124253, DL 1.3268381357192993, DACC 39.03125, DGACC60.85937500000001 
Epoch 72 , SSIM -0.252439284324646 , GDL 0.7978528994321823, TL 0.5454136124253273, DL 1.317775319814682, DACC 38.15625, DGACC62.31250000000001 
Epoch 73 , SSIM -0.25110760763287543 , GDL 0.7951189458370209, TL 0.5440113371610642, DL 1.3221772265434266, DACC 36.875, DGACC61.609375 
Epoch 74 , SSIM -0.251122861802578 , GDL 0.8106880408525466, TL 0.5595651775598526, DL 1.2979539024829865, DACC 35.5625, DGACC63.609375 
Epoch 75 , SSIM -0.24950122863054275 , GDL 0.7991873759031296, TL 0.5496861439943314, DL 1.3242390370368957, DACC 39.875, DGACC61.07812500000001 
Epoch 76 , SSIM -0.2514112202823162 , GDL 0.8229504191875457, TL 0.5715392005443573, DL 1.295456464290619, DACC 36.5, DGACC63.64062499999999 
Epoch 77 , SSIM -0.24684665262699126 , GDL 0.8169528710842132, TL 0.570106218457222, DL 1.2954697465896607, DACC 36.0625, DGACC63.765625 
Epoch 78 , SSIM -0.249780612885952 , GDL 0.8075631999969483, TL 0.557782588005066, DL 1.3202842140197755, DACC 37.09375, DGACC61.953125 
Epoch 79 , SSIM -0.25245540514588355 , GDL 0.8092224895954132, TL 0.5567670851945877, DL 1.3099779963493348, DACC 37.90625, DGACC61.84375 
Epoch 80 , SSIM -0.24982500672340394 , GDL 0.8105016875267029, TL 0.5606766819953919, DL 1.3139492690563201, DACC 38.40625, DGACC62.484375 
Epoch 81 , SSIM -0.25181776747107504 , GDL 0.8092871910333633, TL 0.5574694243073464, DL 1.3163679075241088, DACC 37.90625, DGACC61.35937500000001 
Epoch 82 , SSIM -0.2514496521651745 , GDL 0.8250202178955078, TL 0.5735705649852753, DL 1.3024457156658173, DACC 36.375, DGACC63.31250000000001 
Epoch 83 , SSIM -0.2521879704296589 , GDL 0.8138333064317703, TL 0.561645338833332, DL 1.3040331721305847, DACC 36.3125, DGACC62.828125 
Epoch 84 , SSIM -0.25243369817733763 , GDL 0.8062288510799408, TL 0.553795154094696, DL 1.3243818914890289, DACC 39.5, DGACC61.09375 
Epoch 85 , SSIM -0.24959356233477592 , GDL 0.8077272027730942, TL 0.5581336402893067, DL 1.3126132953166962, DACC 37.15625, DGACC63.0 
Epoch 86 , SSIM -0.24908433094620705 , GDL 0.823203621506691, TL 0.5741192921996117, DL 1.3080222773551942, DACC 37.125, DGACC62.74999999999999 
Epoch 87 , SSIM -0.2494260336458683 , GDL 0.8066041123867035, TL 0.5571780782938004, DL 1.3285542345046997, DACC 38.9375, DGACC60.8125 
Epoch 88 , SSIM -0.2505644530057907 , GDL 0.8175063037872314, TL 0.5669418483972549, DL 1.3157767570018768, DACC 38.125, DGACC61.65625 
Epoch 89 , SSIM -0.24653319954872133 , GDL 0.8230480563640594, TL 0.5765148532390595, DL 1.3084217345714568, DACC 36.625, DGACC62.68749999999999 
Epoch 90 , SSIM -0.24798293441534042 , GDL 0.8207922768592835, TL 0.5728093418478966, DL 1.3110293388366698, DACC 37.5625, DGACC62.59375 
Epoch 91 , SSIM -0.247387363165617 , GDL 0.870681409239769, TL 0.6232940459251404, DL 1.2646457707881928, DACC 32.8125, DGACC65.859375 
Epoch 92 , SSIM -0.24622417479753494 , GDL 0.8653893542289733, TL 0.619165176153183, DL 1.2795646834373473, DACC 34.15625, DGACC65.375 
Epoch 93 , SSIM -0.2508082257211208 , GDL 0.8408495998382568, TL 0.5900413742661477, DL 1.2966591382026673, DACC 38.1875, DGACC63.15625 
Epoch 94 , SSIM -0.25162886664271356 , GDL 0.802136144042015, TL 0.5505072802305222, DL 1.3433056890964508, DACC 38.625, DGACC60.0 
Epoch 95 , SSIM -0.24944228649139405 , GDL 0.8101207882165908, TL 0.5606785023212433, DL 1.3300967466831208, DACC 39.03125, DGACC60.8125 
Epoch 96 , SSIM -0.2512035623192787 , GDL 0.8173658859729767, TL 0.5661623242497444, DL 1.3160229122638702, DACC 37.8125, DGACC62.70312500000001 
Epoch 97 , SSIM -0.25024420574307443 , GDL 0.7936266988515854, TL 0.5433824926614761, DL 1.3501792585849761, DACC 40.5, DGACC58.79687500000001 
Epoch 98 , SSIM -0.250856591463089 , GDL 0.8062072592973709, TL 0.5553506684303283, DL 1.3308182501792907, DACC 38.5, DGACC60.65625 
Epoch 99 , SSIM -0.24898844659328462 , GDL 0.801081486940384, TL 0.5520930400490761, DL 1.328520040512085, DACC 39.3125, DGACC60.25 
Epoch 100 , SSIM -0.2520501388609409 , GDL 0.84001096367836, TL 0.5879608240723609, DL 1.3074632728099822, DACC 37.0625, DGACC62.68749999999999 
Epoch 101 , SSIM -0.24976615175604822 , GDL 0.8450165635347366, TL 0.5952504116296768, DL 1.2921299886703492, DACC 35.09375, DGACC64.5625 
Epoch 102 , SSIM -0.24828685849905013 , GDL 0.8093723022937774, TL 0.5610854431986809, DL 1.3358926737308503, DACC 38.6875, DGACC60.3125 
Epoch 103 , SSIM -0.24864717006683348 , GDL 0.8074664229154587, TL 0.5588192528486252, DL 1.3425782239437103, DACC 39.65625, DGACC60.203125 
Epoch 104 , SSIM -0.249723619222641 , GDL 0.8044746148586274, TL 0.5547509971261024, DL 1.3283812701702118, DACC 38.71875, DGACC61.01562499999999 
Epoch 105 , SSIM -0.24876493141055106 , GDL 0.8100068575143814, TL 0.5612419250607491, DL 1.326174191236496, DACC 38.21875, DGACC60.90624999999999 
Epoch 106 , SSIM -0.25225847363471987 , GDL 0.8201566731929779, TL 0.5678982001543045, DL 1.3072297728061677, DACC 35.75, DGACC63.5 
Epoch 107 , SSIM -0.24617972925305368 , GDL 0.8599730163812638, TL 0.6137932896614074, DL 1.2873763024806977, DACC 34.75, DGACC64.9375 
Epoch 108 , SSIM -0.24742547363042833 , GDL 0.833887312412262, TL 0.5864618387818337, DL 1.3191221499443053, DACC 38.375, DGACC61.546875 
Epoch 109 , SSIM -0.2486964838206768 , GDL 0.8173019272089005, TL 0.5686054450273513, DL 1.3226929163932801, DACC 37.40625, DGACC61.0625 
Epoch 110 , SSIM -0.24859569907188417 , GDL 0.8272543787956238, TL 0.5786586794257164, DL 1.3290416622161865, DACC 39.5, DGACC60.96875000000001 
Epoch 111 , SSIM -0.2541000297665596 , GDL 0.804879989027977, TL 0.550779960155487, DL 1.3312693095207215, DACC 39.8125, DGACC61.12499999999999 
Epoch 112 , SSIM -0.2530009406805038 , GDL 0.799143328666687, TL 0.5461423885822296, DL 1.3345293128490447, DACC 38.4375, DGACC60.62499999999999 
Epoch 113 , SSIM -0.24973900213837624 , GDL 0.8103931850194931, TL 0.5606541833281518, DL 1.334420372247696, DACC 39.25, DGACC59.90625000000001 
Epoch 114 , SSIM -0.25119477927684786 , GDL 0.8327146750688553, TL 0.5815198960900306, DL 1.3020848894119263, DACC 36.125, DGACC62.84375 
Epoch 115 , SSIM -0.2525772228837013 , GDL 0.8205264455080032, TL 0.5679492220282555, DL 1.3106405627727509, DACC 37.53125, DGACC62.90625 
Epoch 116 , SSIM -0.2546186937391758 , GDL 0.8280411612987518, TL 0.5734224659204483, DL 1.3011575615406037, DACC 36.21875, DGACC63.09375000000001 
Epoch 117 , SSIM -0.24927935898303985 , GDL 0.8282516151666641, TL 0.5789722564816475, DL 1.3054080486297608, DACC 36.75, DGACC62.734375 
Epoch 118 , SSIM -0.25076614156365395 , GDL 0.8479313200712204, TL 0.5971651801466942, DL 1.293678263425827, DACC 36.46875, DGACC64.0 
Epoch 119 , SSIM -0.25207348480820657 , GDL 0.8156723535060882, TL 0.5635988676548004, DL 1.3131400167942047, DACC 37.875, DGACC62.328125 
Epoch 120 , SSIM -0.2557561178505421 , GDL 0.8031836956739425, TL 0.547427576482296, DL 1.3308315217494964, DACC 39.6875, DGACC60.828125 
